iso,name,lon,lat,size_pop,pop_basis,source
USA,Arlington,-77.10428,38.88101,207627,minor,GeoNames
USA,Oxnard,-119.17705,34.1975,207254,minor,GeoNames
USA,Columbus,-84.98771,32.46098,206922,minor,GeoNames
USA,Worcester,-71.80229,42.26259,206518,minor,GeoNames
MEX,Cordoba,-96.92559,18.8842,204721,minor,GeoNames
USA,Moreno Valley,-117.23059,33.93752,204198,minor,GeoNames
MEX,Cabo San Lucas,-109.91238,22.89088,202694,minor,GeoNames
USA,Little Rock,-92.28959,34.74648,202591,minor,GeoNames
CAN,Richmond Hill,-79.43725,43.87111,202022,minor,GeoNames
USA,Fayetteville,-78.87836,35.05266,201963,minor,GeoNames
USA,Huntington Beach,-117.99923,33.6603,201899,minor,GeoNames
USA,Tallahassee,-84.28073,30.43826,201731,minor,GeoNames
USA,Yonkers,-73.89789,40.9304,201116,minor,GeoNames
USA,Glendale,-118.25508,34.14251,201020,minor,GeoNames
USA,Cypress,-95.69717,29.96911,200839,minor,GeoNames
USA,Aurora,-88.32007,41.76058,200661,minor,GeoNames
USA,Amarillo,-101.8313,35.222,198645,minor,GeoNames
USA,Akron,-81.51901,41.08144,197542,minor,GeoNames
MEX,Ciudad Madero,-97.83665,22.2475,197216,minor,GeoNames
USA,Vancouver,-122.66149,45.63873,196442,minor,GeoNames
MEX,Ciudad Lazaro Cardenas,-102.19887,17.96256,196003,minor,GeoNames
USA,Montgomery,-86.29997,32.36681,195287,minor,GeoNames
MEX,Ciudad del Carmen,-91.82991,18.64592,191238,minor,GeoNames
USA,Peoria,-112.23738,33.5806,190985,minor,GeoNames
USA,Providence,-71.41283,41.82399,190934,minor,GeoNames
USA,Sunrise Manor,-115.07306,36.21108,189372,minor,GeoNames
USA,Grand Prairie,-96.99778,32.74596,187809,minor,GeoNames
USA,Shreveport,-93.75018,32.52515,187593,minor,GeoNames
MEX,Chilpancingo,-99.50124,17.55228,187251,minor,GeoNames
CAN,Burlington,-79.83713,43.38621,186948,minor,GeoNames
USA,Brownsville,-97.49748,25.90175,186738,minor,GeoNames
USA,Overland Park,-94.67079,38.98223,186515,minor,GeoNames
USA,Newport News,-76.42975,36.98038,186247,minor,GeoNames
MEX,Zamora de Hidalgo,-102.28634,19.98404,186102,minor,GeoNames
MEX,Poza Rica de Hidalgo,-97.45946,20.53315,185242,minor,GeoNames
USA,Mobile,-88.04305,30.69436,183289,minor,GeoNames
USA,Fort Lauderdale,-80.14338,26.12231,183146,minor,GeoNames
USA,Santa Clarita,-118.54259,34.39166,182371,minor,GeoNames
USA,Chattanooga,-85.30968,35.04563,181099,minor,GeoNames
CAN,Nepean,-75.7225,45.33619,180000,minor,GeoNames
USA,Spring Valley,-115.245,36.10803,178395,minor,GeoNames
USA,Santa Rosa,-122.71443,38.44047,178127,minor,GeoNames
MEX,San Luis Rio Colorado,-114.77037,32.4555,176685,minor,GeoNames
USA,Eugene,-123.08675,44.05207,176654,minor,GeoNames
USA,Tempe,-111.90931,33.41477,175826,minor,GeoNames
USA,Oceanside,-117.37948,33.19587,175691,minor,GeoNames
USA,Salem,-123.0351,44.9429,175535,minor,GeoNames
USA,Garden Grove,-117.94145,33.77391,175393,minor,GeoNames
CAN,Oshawa,-78.84957,43.90012,175383,minor,GeoNames
USA,Rancho Cucamonga,-117.59311,34.1064,175236,minor,GeoNames
MEX,San Miguel de Allende,-100.74389,20.91528,174615,minor,GeoNames
MEX,Chicoloapan,-98.90202,19.41687,172919,minor,GeoNames
USA,Sioux Falls,-96.72796,43.54369,171544,minor,GeoNames
USA,Ontario,-117.65089,34.06334,171214,minor,GeoNames
USA,Fort Collins,-105.08442,40.58526,170924,minor,GeoNames
USA,Springfield,-93.29824,37.21533,170188,minor,GeoNames
MEX,Guadalupe,-102.5188,22.74678,170029,minor,GeoNames
MEX,Chetumal,-88.30397,18.51957,169028,minor,GeoNames
MEX,Chalco,-98.89775,19.26174,168720,minor,GeoNames
MEX,Cuauhtemoc,-106.86667,28.4063,168482,minor,GeoNames
USA,Elk Grove,-121.37162,38.4088,166913,minor,GeoNames
USA,Clarksville,-87.35945,36.52977,166722,minor,GeoNames
USA,Pembroke Pines,-80.22394,26.00315,166611,minor,GeoNames
MEX,Comitan,-92.13668,16.24004,166178,minor,GeoNames
CAN,Greater Sudbury,-80.99001,46.49,166004,minor,GeoNames
USA,Murfreesboro,-86.39027,35.84562,165430,minor,GeoNames
USA,Port Saint Lucie,-80.35033,27.29393,164603,minor,GeoNames
USA,Corona,-117.56644,33.87529,164226,minor,GeoNames
USA,McKinney,-96.61527,33.19762,162898,minor,GeoNames
USA,Lancaster,-118.13674,34.69804,161103,minor,GeoNames
MEX,Salamanca,-101.1977,20.56979,160682,minor,GeoNames
MEX,Delegacion Cuajimalpa de Morelos,-99.29089,19.3692,160491,minor,GeoNames
MEX,Manzanillo,-104.34214,19.11695,159853,minor,GeoNames
USA,Cary,-78.78112,35.79154,159769,minor,GeoNames
USA,Alexandria,-77.04692,38.80484,159467,minor,GeoNames
